Feature,Importance_Mean,Importance_SD
pts,1.1000293702926798,0.02522781142751556
age,0.054116444735455106,0.003591380350753341
pts_lag1,0.008614415267049046,0.0009215424978416861
net_rating,0.006186865304473876,0.002149924942994192
usg_pct,0.0032837607482380736,0.0007679342193872373
gp,0.0021391332961097744,0.0006449479371334184
ast_pct,0.0015592433459936216,0.0002463331285996431
net_rating_lag1,0.0014564638960150255,0.0005075242477811809
draft_round,0.0010659109758624275,0.00026476114596029926
season,0.0007656327738538415,0.0002855135552351132
player_height,0.0004562559712059211,0.0002679893583540374
player_weight,0.00034593892291536756,9.44876865895737e-05
ts_pct,0.00032907099890754353,0.00021411091253835992
ast,0.0003026182983857928,0.00023505361517404616
reb_lag1,0.00025840094573472696,0.0002901389039239735
usg_pct_lag1,0.00025369555918015597,0.00024338213787495843
draft_year,0.00018622788011405378,6.492361653464638e-05
dreb_pct,0.00012790485609605052,0.0001497640713911429
country,0.00011566313610870128,4.032272100638552e-05
draft_number,6.283025219405713e-05,0.00014800243042849365
pos_proxy,8.510503901193456e-06,1.0699231628933428e-05
ast_lag1,8.35004133868944e-06,0.000274547842498092
oreb_pct,-3.194035911856519e-05,0.00010032935568194166
ts_pct_lag1,-6.814711644784755e-05,0.00024064877461815653
reb,-0.00010686586367862905,0.0002650961428991678
college,-0.00023430417803865788,0.00046811893661327815
team_abbreviation,-0.0004322838704131415,0.00014365249724352118
