Feature,Coefficient,Abs_Coefficient
num__pts,4.384061637949367,4.384061637949367
num__age,-1.0416056907209295,1.0416056907209295
num__pts_lag1,0.5272508599920739,0.5272508599920739
num__net_rating,0.34078622265189096,0.34078622265189096
cat__season_1998-99,0.29924741794474363,0.29924741794474363
num__usg_pct,0.2766189296621998,0.2766189296621998
cat__team_abbreviation_NYK,-0.26137859927774754,0.26137859927774754
cat__draft_round_1,0.22251742895164853,0.22251742895164853
num__dreb_pct,0.21060366229801697,0.21060366229801697
num__net_rating_lag1,0.18699732439682498,0.18699732439682498
cat__pos_proxy_Wing (proxy),0.1708938691999876,0.1708938691999876
cat__draft_number_3,0.163951584041882,0.163951584041882
num__ast_pct,0.16331559655303773,0.16331559655303773
cat__season_2008-09,-0.1514358449164905,0.1514358449164905
cat__season_2003-04,0.10761156370355299,0.10761156370355299
cat__team_abbreviation_POR,0.10675333221278802,0.10675333221278802
cat__season_1997-98,-0.10347649427315825,0.10347649427315825
cat__draft_round_Undrafted,-0.08123192591522745,0.08123192591522745
num__player_weight,-0.08062235081094034,0.08062235081094034
num__gp,0.08009800618283876,0.08009800618283876
cat__season_2018-19,0.06704646832113721,0.06704646832113721
num__reb,-0.06049148994841087,0.06049148994841087
num__ast_lag1,0.0328967988693911,0.0328967988693911
num__oreb_pct,-0.03104872060153657,0.03104872060153657
num__reb_lag1,-0.018267221012263586,0.018267221012263586
cat__team_abbreviation_SAS,0.011671818793876874,0.011671818793876874
cat__draft_year_1980,0.0,0.0
cat__draft_year_1987,0.0,0.0
cat__country_Scotland,-0.0,0.0
cat__country_Saint Lucia,-0.0,0.0
cat__country_Russia,-0.0,0.0
cat__country_Puerto Rico,0.0,0.0
cat__draft_year_1988,-0.0,0.0
cat__country_Poland,0.0,0.0
cat__country_Panama,0.0,0.0
cat__country_Nigeria,-0.0,0.0
cat__country_New Zealand,0.0,0.0
cat__country_Netherlands,0.0,0.0
cat__country_Montenegro,0.0,0.0
cat__country_Mexico,-0.0,0.0
cat__country_Mali,-0.0,0.0
cat__country_Macedonia,-0.0,0.0
cat__country_Lithuania,0.0,0.0
cat__country_Latvia,-0.0,0.0
cat__country_Japan,-0.0,0.0
cat__country_Jamaica,0.0,0.0
cat__country_Italy,0.0,0.0
cat__country_Israel,0.0,0.0
