cluster,player_name,seasons,gp_total,pts,reb,ast
0,Michael Ruffin,9,414,1.5555555555555556,3.6222222222222222,0.5222222222222223
0,Michael Stewart,8,286,1.775,2.5375,0.2375
0,Dominic McGuire,6,342,2.5500000000000003,3.25,1.0999999999999999
0,Earl Clark,6,261,4.016666666666667,2.8000000000000003,0.45
0,Rodney Buford,5,230,5.58,2.2,0.68
0,Von Wafer,5,199,4.34,1.04,0.62
0,Byron Mullens,5,189,5.42,3.2,0.5599999999999999
0,Doug West,5,173,4.72,1.8199999999999998,1.26
1,Tyson Chandler,19,1160,7.821052631578947,8.721052631578948,0.7947368421052632
1,Trevor Ariza,18,1118,9.844444444444443,4.677777777777778,2.0611111111111113
1,Kyle Korver,17,1232,9.6,2.9235294117647057,1.7
1,Mike Miller,17,1032,9.705882352941176,4.047058823529412,2.423529411764706
1,Nazr Mohammed,17,1000,5.158823529411765,4.182352941176471,0.3294117647058824
1,Udonis Haslem,17,867,6.2176470588235295,5.605882352941176,0.711764705882353
1,Zaza Pachulia,16,1098,6.7,5.74375,1.31875
1,Ben Wallace,16,1088,5.39375,9.1,1.225
2,Vince Carter,22,1541,16.345454545454547,4.2272727272727275,2.972727272727273
2,Dirk Nowitzki,21,1522,20.10952380952381,7.347619047619048,2.3380952380952382
2,LeBron James,20,1421,27.2,7.540000000000001,7.340000000000001
2,Kevin Garnett,20,1382,17.35,9.83,3.63
2,Tim Duncan,19,1392,18.889473684210525,10.76842105263158,3.0105263157894737
2,Paul Pierce,19,1343,18.931578947368422,5.436842105263158,3.357894736842105
2,Kobe Bryant,19,1340,24.74736842105263,5.247368421052632,4.678947368421053
2,Jamal Crawford,19,1326,14.4,2.1894736842105265,3.384210526315789
3,Jason Terry,19,1410,12.88421052631579,2.2473684210526312,3.689473684210526
3,Derek Fisher,18,1287,8.305555555555555,2.072222222222222,2.983333333333333
3,Lou Williams,17,1123,13.194117647058825,2.1470588235294117,3.2764705882352945
3,Devin Harris,15,985,10.726666666666667,2.1933333333333334,3.953333333333333
3,JJ Redick,15,940,12.153333333333334,1.9400000000000002,1.8733333333333333
3,George Hill,15,915,10.386666666666667,2.9466666666666668,3.0866666666666664
3,CJ Miles,15,848,8.793333333333333,2.2,1.0533333333333335
3,D.J. Augustin,14,976,9.414285714285715,1.8214285714285714,3.8642857142857143
