player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_start,pos_proxy,pts_lag1,reb_lag1,ast_lag1,ts_pct_lag1,usg_pct_lag1,net_rating_lag1,d_pts,d_ts,next_pts,next_reb,next_ast,next_ts_pct,improved_next_pts
A.C. Green,MIA,37.0,205.74,102.0582,Oregon State,USA,1985,1,23,82,4.5,3.8,0.5,3.3,0.089,0.171,0.141,0.492,0.05,2000-01,2000,Big (proxy),5.0,5.9,1.0,0.482,0.111,8.1,-0.5,0.01,,,,,0
A.J. Guyton,CHI,24.0,185.42,81.64656,Indiana,USA,2000,2,32,45,5.4,1.0,1.8,-3.8,0.022,0.067,0.221,0.477,0.248,2001-02,2001,Guard (proxy),6.0,1.1,1.9,0.495,0.1689999999999999,-12.4,-0.5999999999999996,-0.018,,,,,0
A.J. Lawson,DAL,22.0,198.12,81.19296800000001,South Carolina,Canada,Undrafted,Undrafted,Undrafted,15,3.7,1.4,0.1,-20.1,0.046,0.152,0.1889999999999999,0.589,0.032,2022-23,2022,Wing (proxy),,,,,,,,,,,,,0
AJ Green,MIL,23.0,195.58,86.18248,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,35,4.4,1.3,0.6,-4.9,0.016,0.105,0.159,0.607,0.092,2022-23,2022,Wing (proxy),,,,,,,,,,,,,0
AJ Griffin,ATL,19.0,198.12,99.79024,Duke,USA,2022,1,16,72,8.9,2.1,1.0,1.5,0.026,0.08,0.174,0.5770000000000001,0.07,2022-23,2022,Wing (proxy),,,,,,,,,,,,,0
AJ Hammons,DAL,24.0,213.36,117.93392,Purdue,USA,2016,2,46,22,2.2,1.6,0.2,-0.6,0.049,0.1989999999999999,0.1669999999999999,0.472,0.038,2016-17,2016,Big (proxy),,,,,,,,,,,,,0
AJ Price,CLE,28.0,187.96,88.45044,Connecticut,USA,2009,2,52,26,5.1,1.2,1.8,-12.2,0.019,0.096,0.226,0.451,0.254,2014-15,2014,Guard (proxy),1.6,0.4,0.5,0.469,0.23,-2.4,3.5,-0.0179999999999999,,,,,0
Aaron Brooks,MIN,33.0,182.88,73.028312,Oregon,USA,2007,1,26,32,2.3,0.5,0.6,-17.2,0.036,0.057,0.192,0.508,0.161,2017-18,2017,Guard (proxy),5.0,1.1,1.9,0.507,0.191,-3.0,-2.7,0.001,,,,,0
Aaron Gordon,DEN,27.0,203.2,106.59412,Arizona,USA,2014,1,4,68,16.3,6.6,3.0,12.1,0.086,0.136,0.206,0.617,0.129,2022-23,2022,Wing (proxy),15.0,5.9,2.5,0.602,0.1939999999999999,6.2,1.3000000000000007,0.015,,,,,0
Aaron Gray,SAC,29.0,213.36,122.46984,Pittsburgh,USA,2007,2,49,37,1.8,3.0,0.6,-11.7,0.13,0.226,0.125,0.466,0.092,2013-14,2013,Big (proxy),2.8,3.2,0.8,0.544,0.132,-7.7,-0.9999999999999998,-0.078,,,,,0
Aaron Harrison,CHA,21.0,198.12,95.25432,Kentucky,USA,Undrafted,Undrafted,Undrafted,21,0.9,0.7,0.1,2.2,0.047,0.133,0.138,0.371,0.033,2015-16,2015,Wing (proxy),,,,,,,,,,,,,0
Aaron Holiday,ATL,26.0,182.88,83.91452,UCLA,USA,2018,1,23,63,3.9,1.2,1.4,0.9,0.0279999999999999,0.059,0.129,0.528,0.135,2022-23,2022,Guard (proxy),6.3,1.9,2.4,0.544,0.182,-1.4,-2.4,-0.016,,,,,0
Aaron McKie,LAL,34.0,195.58,94.800728,Temple,USA,1994,1,17,10,2.2,1.8,1.3,-4.0,0.009,0.155,0.089,0.647,0.165,2006-07,2006,Wing (proxy),0.5,1.4,0.8,0.272,0.06,-6.2,1.7000000000000002,0.375,,,,,0
Aaron Miles,GSW,23.0,185.42,86.18248,Kansas,USA,Undrafted,Undrafted,Undrafted,19,0.8,0.7,1.3,-3.9,0.0,0.154,0.113,0.405,0.308,2005-06,2005,Guard (proxy),,,,,,,,,,,,,0
Aaron Nesmith,IND,23.0,195.58,97.52228,Vanderbilt,USA,2020,1,14,73,10.1,3.8,1.3,-4.7,0.033,0.119,0.168,0.5660000000000001,0.073,2022-23,2022,Wing (proxy),3.8,1.7,0.4,0.507,0.1639999999999999,3.0,6.3,0.059,,,,,0
Aaron Wiggins,OKC,24.0,195.58,86.18248,Maryland,USA,2021,2,55,70,6.8,3.0,1.1,1.5,0.05,0.109,0.143,0.607,0.084,2022-23,2022,Wing (proxy),8.3,3.6,1.4,0.556,0.149,-8.1,-1.5000000000000009,0.0509999999999999,,,,,0
Aaron Williams,LAC,36.0,205.74,106.59412,Xavier,USA,Undrafted,Undrafted,Undrafted,30,2.3,2.0,0.3,-15.9,0.06,0.186,0.118,0.54,0.052,2007-08,2007,Big (proxy),2.0,2.2,0.2,0.606,0.1009999999999999,-2.4,0.2999999999999998,-0.0659999999999999,,,,,0
Abdel Nader,PHX,28.0,195.58,102.0582,Iowa State,Egypt,2016,2,58,14,2.4,1.9,0.5,-0.9,0.026,0.145,0.139,0.431,0.065,2021-22,2021,Wing (proxy),6.7,2.6,0.8,0.605,0.183,5.0,-4.300000000000001,-0.174,,,,,0
Acie Earl,MIL,27.0,210.82,108.86208,Iowa,USA,1993,1,19,47,4.0,2.0,0.4,-6.4,0.079,0.14,0.2239999999999999,0.435,0.077,1996-97,1996,Big (proxy),,,,,,,,,,,,,0
Acie Law,GSW,26.0,190.5,91.625584,Texas A&M,USA,2007,1,11,51,4.2,1.2,1.6,-8.2,0.019,0.0819999999999999,0.16,0.502,0.182,2010-11,2010,Guard (proxy),4.3,0.7,1.0,0.585,0.22,7.0,-0.0999999999999996,-0.0829999999999999,,,,,0
Adam Harrington,DEN,22.0,195.58,90.7184,Auburn,USA,Undrafted,Undrafted,Undrafted,19,1.6,0.4,0.6,-15.7,0.01,0.088,0.1669999999999999,0.387,0.179,2002-03,2002,Wing (proxy),,,,,,,,,,,,,0
Adam Keefe,GSW,31.0,205.74,104.32616,Stanford,USA,1992,1,10,67,2.5,3.1,0.5,-9.2,0.105,0.175,0.1159999999999999,0.45,0.066,2000-01,2000,Big (proxy),2.2,2.2,0.5,0.4629999999999999,0.149,-3.3,0.2999999999999998,-0.0129999999999999,,,,,0
