Feature,VIF
const,4262.091504317806
pts,20.181728743645184
ast,15.783329400806018
pts_lag1,12.794070547954147
reb,11.399083003756296
ast_pct,10.963961075728326
player_height,8.659296911961524
pos_proxy_Guard (proxy),8.38921204628535
usg_pct,6.9098345335434415
reb_lag1,5.688120008079607
ast_lag1,5.632647493113252
dreb_pct,5.424021764644826
usg_pct_lag1,5.256443232458844
player_weight,3.81717666364302
oreb_pct,3.284328086112865
pos_proxy_Wing (proxy),3.2713478656369603
ts_pct,1.8758651573082394
ts_pct_lag1,1.7918176750886978
gp,1.4416796663844946
net_rating,1.347730437238252
net_rating_lag1,1.3262348199612317
age,1.1836618682906475
